onset	duration	nwb_table	label
1499.0	18.0	states	awake
1517.0	422.0	states	nrem
1939.0	583.0	states	awake
2522.0	69.0	states	nrem
2591.0	266.0	states	awake
2857.0	124.0	states	nrem
2981.0	226.0	states	awake
3207.0	71.0	states	nrem
3278.0	98.0	states	quiet
3376.0	109.0	states	nrem
3485.0	706.0	states	awake
4191.0	102.0	states	nrem
4293.0	50.0	states	quiet
4343.0	1515.0	states	nrem
5858.0	10.0	states	transit
5868.0	135.0	states	rem
6003.0	935.0	states	nrem
6938.0	608.0	states	quiet
7546.0	28.0	states	awake
7574.0	31.0	states	quiet
7605.0	66.0	states	nrem
7671.0	32.0	states	awake
7703.0	607.0	states	nrem
8310.0	7.0	states	transit
8317.0	167.0	states	rem
8484.0	67.0	states	nrem
8551.0	2506.0	states	awake
11057.0	235.0	states	nrem
11292.0	291.0	states	awake
11583.0	231.0	states	nrem
11814.0	70.0	states	awake
11884.0	480.0	states	quiet
12364.0	64.0	states	nrem
12428.0	39.0	states	quiet
12467.0	100.0	states	nrem
12567.0	164.0	states	awake
12731.0	856.0	states	nrem
13587.0	11.0	states	transit
13598.0	147.0	states	rem
13745.0	963.0	states	nrem
14708.0	18.0	states	transit
14726.0	174.0	states	rem
14900.0	1170.0	states	nrem
16070.0	17.0	states	transit
16087.0	181.0	states	rem
16268.0	732.0	states	nrem
