onset	duration	nwb_table	error_run	stim_run	both_visit	condition	label
4.0	97.0	states					awake
101.0	280.0	states					quiet
381.0	1109.0	states					nrem
1490.0	16.0	states					transit
1506.0	65.0	states					rem
1571.0	51.0	states					quiet
1622.0	404.0	states					nrem
2026.0	21.0	states					transit
2047.0	33.0	states					rem
2080.0	50.0	states					quiet
2130.0	687.0	states					nrem
2817.0	13.0	states					transit
2830.0	130.0	states					rem
2960.0	34.0	states					quiet
2994.0	1081.0	states					awake
4075.0	122.0	states					quiet
4197.0	324.0	states					nrem
4521.0	39.0	states					quiet
4560.0	1516.0	states					nrem
6076.0	121.0	states					quiet
6197.0	1458.0	states					awake
7655.0	107.0	states					quiet
7762.0	446.0	states					nrem
8208.0	212.0	states					awake
8420.0	171.0	states					nrem
26144.0	2381.184000000001	epochs					
26160.6088	35.7599999999984	trials	0.0	0.0	0.0	run_left	
26196.3688	38.79359999999724	trials	0.0	0.0	0.0	run_right	
26235.162399999997	55.43920000000435	trials	0.0	0.0	0.0	run_left	
26290.6016	31.640799999997398	trials	1.0	1.0	0.0	run_left	
26322.2424	66.41040000000066	trials	0.0	1.0	0.0	run_right	
26388.6528	86.51039999999921	trials	0.0	1.0	0.0	run_left	
26475.1632	49.521600000000035	trials	0.0	0.0	0.0	run_right	
26524.6848	38.37039999999979	trials	0.0	0.0	0.0	run_left	
26563.0552	47.79119999999966	trials	0.0	1.0	0.0	run_right	
26610.8464	37.666400000001886	trials	0.0	1.0	0.0	run_left	
26648.5128	73.60959999999977	trials	1.0	0.0	0.0	run_left	
26722.1224	56.96879999999874	trials	0.0	0.0	0.0	run_right	
26779.0912	39.58320000000094	trials	0.0	0.0	0.0	run_left	
26818.6744	48.96320000000196	trials	0.0	1.0	0.0	run_right	
26867.637600000002	35.62800000000061	trials	0.0	1.0	0.0	run_left	
26903.265600000002	98.4607999999971	trials	0.0	1.0	0.0	run_right	
27001.7264	50.6176000000014	trials	0.0	0.0	0.0	run_left	
27052.344	39.81999999999971	trials	0.0	0.0	0.0	run_right	
27092.164	39.3775999999998	trials	0.0	1.0	0.0	run_left	
27131.5416	19.857599999999366	trials	1.0	1.0	0.0	run_left	
27151.3992	34.06079999999929	trials	0.0	0.0	0.0	run_right	
27185.46	40.185600000000704	trials	0.0	0.0	0.0	run_left	
27225.6456	37.86160000000018	trials	0.0	0.0	0.0	run_right	
27263.5072	40.08719999999812	trials	0.0	1.0	0.0	run_left	
27303.594399999998	43.5496000000021	trials	0.0	1.0	0.0	run_right	
27347.144	40.57839999999851	trials	0.0	1.0	0.0	run_left	
27387.7224	20.768800000001647	trials	1.0	0.0	0.0	run_left	
27408.4912	31.765599999998813	trials	0.0	0.0	0.0	run_right	
27440.2568	20.782400000000052	trials	1.0	0.0	0.0	run_right	
27461.0392	38.34400000000096	trials	0.0	0.0	0.0	run_left	
27499.3832	62.48240000000078	trials	0.0	0.0	0.0	run_right	
27561.8656	111.71440000000075	trials	0.0	0.0	0.0	run_left	
27673.58	74.76559999999881	trials	0.0	0.0	0.0	run_right	
27748.3456	31.98400000000038	trials	0.0	0.0	0.0	run_left	
27780.3296	84.30559999999969	trials	0.0	0.0	0.0	run_right	
27864.6352	38.77440000000206	trials	0.0	0.0	0.0	run_left	
27903.409600000003	78.90319999999701	trials	0.0	0.0	0.0	run_right	
27982.3128	69.33439999999973	trials	0.0	0.0	0.0	run_left	
28051.6472	74.63520000000062	trials	0.0	0.0	0.0	run_right	
28126.2824	70.04079999999885	trials	0.0	0.0	0.0	run_left	
28196.3232	179.18480000000272	trials	1.0	0.0	0.0	run_left	
28375.508	145.8343999999961	trials	0.0	0.0	0.0	run_right	
