onset	duration	nwb_table	label
4.0	8988.0	states	awake
8992.0	82.0	states	quiet
9074.0	183.0	states	awake
9257.0	1268.0	states	nrem
10525.0	9.0	states	transit
10534.0	34.0	states	rem
10568.0	280.0	states	nrem
10848.0	10.0	states	transit
10858.0	92.0	states	rem
10950.0	386.0	states	nrem
11336.0	5.0	states	transit
11341.0	26.0	states	rem
11367.0	151.0	states	nrem
11518.0	5.0	states	transit
11523.0	12.0	states	rem
11535.0	178.0	states	nrem
11713.0	5.0	states	transit
11718.0	178.0	states	rem
11897.0	490.0	states	nrem
12387.0	329.0	states	quiet
12716.0	1024.0	states	nrem
13740.0	11.0	states	transit
13751.0	112.0	states	rem
13863.0	266.0	states	nrem
14129.0	9.0	states	transit
14138.0	43.0	states	rem
14181.0	24.0	states	nrem
14205.0	7.0	states	transit
14212.0	23.0	states	rem
14235.0	141.0	states	nrem
